symbol,model,intrinsic_value,last_price,sector,pt_mean,pt_median,pt_high,pt_low,pt_count,rec_mean,last_update,recency_days,source
AAPL,eps_dcf,29.903751240380544,262.82000732421875,Technology,252.34805,260.0,315.0,175.0,41,2.04167,1970-01-01,20387,yfinance.info/recommendations
ABBV,eps_dcf,99.28307403832552,227.9900054931641,Healthcare,237.48334,242.0,284.0,184.0,27,1.92857,1970-01-01,20387,yfinance.info/recommendations
ACN,eps_dcf,268.90589219090657,247.6499938964844,Technology,277.6008,285.0,330.0,205.0,25,2.07692,1970-01-01,20387,yfinance.info/recommendations
ADBE,eps_dcf,128.68638770776914,353.5199890136719,Technology,454.182,460.0,605.0,280.0,35,2.025,1970-01-01,20387,yfinance.info/recommendations
AEM,eps_dcf,20.82890510440628,163.35000610351562,Basic Materials,188.78923,193.0,255.0,70.0,13,1.8,1970-01-01,20387,yfinance.info/recommendations
AGI,eps_dcf,2.9401345640573497,31.549999237060547,Basic Materials,45.75,45.0,50.0,43.0,4,1.33333,1970-01-01,20387,yfinance.info/recommendations
AMAT,eps_dcf,47.3099315101473,228.75,Technology,217.64516,209.0,265.0,160.0,31,1.78378,1970-01-01,20387,yfinance.info/recommendations
AMD,eps_dcf,5.052146367079421,252.9199981689453,Technology,239.10533,240.0,310.0,125.1,45,1.63462,1970-01-01,20387,yfinance.info/recommendations
AMZN,eps_dcf,28.6689952131658,224.2100067138672,Consumer Cyclical,267.7143,269.0,306.0,230.0,63,1.27536,1970-01-01,20387,yfinance.info/recommendations
AU,eps_dcf,13.319163808259804,68.56999969482422,Basic Materials,88.0,83.5,128.0,67.0,6,2.16667,1970-01-01,20387,yfinance.info/recommendations
AVGO,eps_dcf,12.8340731277824,354.1300048828125,Technology,390.7963,400.0,460.0,273.4,41,1.28261,1970-01-01,20387,yfinance.info/recommendations
BAC,eps_dcf,28.45231574557321,52.56999969482422,Financial Services,57.97917,58.0,67.0,46.0,24,1.64,1970-01-01,20387,yfinance.info/recommendations
BRK-B,eps_dcf,1601.7502827065566,492.1000061035156,Financial Services,519.6667,487.0,593.0,479.0,3,2.0,1970-01-01,20387,yfinance.info/recommendations
BTG,eps_dcf,,5.210000038146973,Basic Materials,5.79,6.0,7.0,4.45,5,2.15385,1970-01-01,20387,yfinance.info/recommendations
CAT,eps_dcf,594.080725579477,522.72998046875,Industrials,498.47913,485.0,650.0,350.0,23,2.15385,1970-01-01,20387,yfinance.info/recommendations
COST,eps_dcf,150.07035698736593,932.1400146484376,Consumer Defensive,1062.7742,1095.0,1218.0,640.0,31,1.94595,1970-01-01,20387,yfinance.info/recommendations
CRM,eps_dcf,32.98069075312712,254.8300018310547,Technology,331.8147,335.0,430.0,221.0,51,1.63636,1970-01-01,20387,yfinance.info/recommendations
CSCO,eps_dcf,16.865384512894135,70.62999725341797,Technology,76.29095,76.0,87.0,61.0,21,2.11538,1970-01-01,20387,yfinance.info/recommendations
CVX,eps_dcf,361.9400662387173,155.55999755859375,Energy,170.072,171.0,197.0,124.0,25,2.14815,1970-01-01,20387,yfinance.info/recommendations
DHR,eps_dcf,188.4784230735274,223.00999450683597,Healthcare,254.4,252.5,310.0,220.0,20,1.30435,1970-01-01,20387,yfinance.info/recommendations
FNV,eps_dcf,14.417286356281222,190.1000061035156,Basic Materials,229.33444,225.0,260.0,200.0,9,2.0625,1970-01-01,20387,yfinance.info/recommendations
GOOG,eps_dcf,40.65801520405126,260.510009765625,Communication Services,257.39413,275.0,300.0,185.0,17,1.5,1970-01-01,20387,yfinance.info/recommendations
GOOGL,eps_dcf,40.65801520405126,259.9200134277344,Communication Services,260.38593,262.5,340.0,185.0,54,1.50746,1970-01-01,20387,yfinance.info/recommendations
HD,eps_dcf,226.5249894768816,386.6799926757813,Consumer Cyclical,438.84848,450.0,497.0,335.0,33,1.78378,1970-01-01,20387,yfinance.info/recommendations
HON,eps_dcf,98.72145479158657,216.13999938964844,Industrials,248.06525,245.37,290.0,210.0,21,1.95833,1970-01-01,20387,yfinance.info/recommendations
IBM,eps_dcf,21.82075772842563,307.4599914550781,Technology,285.59332,297.5,350.0,198.0,18,2.55,1970-01-01,20387,yfinance.info/recommendations
INTC,eps_dcf,,38.27999877929688,Technology,35.50543,35.0,50.0,20.0,35,3.13953,1970-01-01,20387,yfinance.info/recommendations
JNJ,eps_dcf,33.12079298064605,190.3999938964844,Healthcare,198.46826,204.0,225.0,155.0,23,2.16667,1970-01-01,20387,yfinance.info/recommendations
JPM,eps_dcf,372.25983738009006,300.44000244140625,Financial Services,326.9175,332.0,370.0,250.0,24,2.28,1970-01-01,20387,yfinance.info/recommendations
KGC,eps_dcf,4.128855014802343,23.940000534057617,Basic Materials,26.55,30.0,36.0,8.0,10,1.82353,1970-01-01,20387,yfinance.info/recommendations
KO,eps_dcf,9.98937285619485,69.70999908447266,Consumer Defensive,78.83478,80.0,85.0,72.0,23,1.58333,1970-01-01,20387,yfinance.info/recommendations
LIN,eps_dcf,127.0307026021918,446.0,Basic Materials,513.13635,520.0,576.0,381.0,22,1.72,1970-01-01,20387,yfinance.info/recommendations
LLY,eps_dcf,54.19766124105717,825.4500122070312,Healthcare,898.0378,900.0,1190.0,650.0,27,1.75862,1970-01-01,20387,yfinance.info/recommendations
MA,eps_dcf,127.11604858293036,573.6699829101562,Financial Services,651.4057,656.0,768.0,520.0,35,1.68421,1970-01-01,20387,yfinance.info/recommendations
MCD,eps_dcf,153.23245157078878,305.7900085449219,Consumer Cyclical,331.13794,335.0,375.0,250.0,29,2.25,1970-01-01,20387,yfinance.info/recommendations
META,eps_dcf,117.52007327829782,738.3599853515625,Communication Services,867.1763,877.5,1086.0,616.0,62,1.41176,1970-01-01,20387,yfinance.info/recommendations
MRK,eps_dcf,92.35924106764882,87.48999786376953,Healthcare,101.8412,98.0,137.0,82.0,25,2.0,1970-01-01,20387,yfinance.info/recommendations
MSFT,eps_dcf,82.92072954607656,523.6099853515625,Technology,621.2663,630.0,710.0,483.0,51,1.25862,1970-01-01,20387,yfinance.info/recommendations
NEM,eps_dcf,19.730782556384867,83.37000274658203,Basic Materials,102.615,104.75,120.0,62.0,20,1.7619,1970-01-01,20387,yfinance.info/recommendations
NFLX,eps_dcf,71.76933994505276,1094.68994140625,Communication Services,1341.6187,1390.0,1600.0,770.0,44,1.89796,1970-01-01,20387,yfinance.info/recommendations
NKE,eps_dcf,81.57623986068093,69.11000061035156,Consumer Cyclical,83.27171,84.0,120.0,38.0,35,2.025,1970-01-01,20387,yfinance.info/recommendations
NVDA,eps_dcf,9.806323895475275,186.25999450683597,Technology,218.51369,214.0,320.0,100.0,57,1.34375,1970-01-01,20387,yfinance.info/recommendations
OR,eps_dcf,1.0440757046447005,33.349998474121094,Basic Materials,41.07574,41.032154,42.09289,40.145763,4,2.41667,1970-01-01,20387,yfinance.info/recommendations
ORCL,eps_dcf,71.68489878127033,283.3299865722656,Technology,345.48428,357.5,430.0,175.14314,38,1.7907,1970-01-01,20387,yfinance.info/recommendations
PAAS,eps_dcf,3.777896625506672,36.34000015258789,Basic Materials,47.625,46.0,62.0,38.0,8,2.0,1970-01-01,20387,yfinance.info/recommendations
PEP,eps_dcf,259.55432212876525,151.5500030517578,Consumer Defensive,153.57143,155.0,172.0,115.0,21,2.73913,1970-01-01,20387,yfinance.info/recommendations
PFE,eps_dcf,6.659581904129902,24.76000022888184,Healthcare,28.80864,28.5,36.0,24.0,22,2.45833,1970-01-01,20387,yfinance.info/recommendations
PG,eps_dcf,63.2635429255741,152.49000549316406,Consumer Defensive,168.72726,171.0,186.0,147.0,22,2.0,1970-01-01,20387,yfinance.info/recommendations
PM,eps_dcf,36.63696395414887,157.6199951171875,Consumer Defensive,188.93333,188.0,220.0,158.0,15,1.72222,1970-01-01,20387,yfinance.info/recommendations
QCOM,eps_dcf,65.76262963764415,168.94000244140625,Technology,179.28078,172.5,225.0,140.0,26,2.30556,1970-01-01,20387,yfinance.info/recommendations
RGLD,eps_dcf,22.7417637364436,182.47000122070312,Basic Materials,247.90909,250.0,280.0,203.0,11,1.81818,1970-01-01,20387,yfinance.info/recommendations
TMO,eps_dcf,226.34268754935107,572.5,Healthcare,608.3709,617.5,675.0,533.16,22,1.65385,1970-01-01,20387,yfinance.info/recommendations
TSLA,eps_dcf,60.56136055945437,433.7200012207031,Consumer Cyclical,390.533,415.0,600.0,120.0,40,2.52174,1970-01-01,20387,yfinance.info/recommendations
TXN,eps_dcf,58.34721485603685,169.1300048828125,Technology,190.83,195.0,245.0,125.0,33,2.5,1970-01-01,20387,yfinance.info/recommendations
UNH,eps_dcf,495.20206911286107,362.5,Healthcare,368.56,395.0,440.0,198.0,25,1.92593,1970-01-01,20387,yfinance.info/recommendations
UPS,eps_dcf,183.99172292901036,87.22000122070312,Industrials,99.13333,100.0,120.0,75.0,30,2.25806,1970-01-01,20387,yfinance.info/recommendations
V,eps_dcf,120.59607133627084,347.3800048828125,Financial Services,392.5935,400.0,450.0,305.0,37,1.625,1970-01-01,20387,yfinance.info/recommendations
WFC,eps_dcf,41.19467874085648,86.41000366210938,Financial Services,92.89583,93.5,100.0,79.0,24,2.03846,1970-01-01,20387,yfinance.info/recommendations
WMT,eps_dcf,9.422599928183793,106.16999816894533,Consumer Defensive,113.35,115.0,129.0,60.0,40,1.34884,1970-01-01,20387,yfinance.info/recommendations
WPM,eps_dcf,6.4151610789251325,98.1500015258789,Basic Materials,128.831,127.5,160.0,108.31,10,1.6875,1970-01-01,20387,yfinance.info/recommendations
XOM,eps_dcf,307.0411385234754,115.38999938964844,Energy,126.51077,125.0,156.0,105.0,26,2.25,1970-01-01,20387,yfinance.info/recommendations
AAPL,fcf_dcf,96.36826902644188,262.82000732421875,Technology,252.34805,260.0,315.0,175.0,41,2.04167,1970-01-01,20387,yfinance.info/recommendations
ABBV,fcf_dcf,173.91781701975947,227.9900054931641,Healthcare,237.48334,242.0,284.0,184.0,27,1.92857,1970-01-01,20387,yfinance.info/recommendations
ACN,fcf_dcf,217.4675744695049,247.6499938964844,Technology,277.6008,285.0,330.0,205.0,25,2.07692,1970-01-01,20387,yfinance.info/recommendations
ADBE,fcf_dcf,266.8968153845335,353.5199890136719,Technology,454.182,460.0,605.0,280.0,35,2.025,1970-01-01,20387,yfinance.info/recommendations
AEM,fcf_dcf,102.9657525580333,163.35000610351562,Basic Materials,188.78923,193.0,255.0,70.0,13,1.8,1970-01-01,20387,yfinance.info/recommendations
AGI,fcf_dcf,6.3511110688470565,31.549999237060547,Basic Materials,45.75,45.0,50.0,43.0,4,1.33333,1970-01-01,20387,yfinance.info/recommendations
AMAT,fcf_dcf,72.34054926917307,228.75,Technology,217.64516,209.0,265.0,160.0,31,1.78378,1970-01-01,20387,yfinance.info/recommendations
AMD,fcf_dcf,23.780244438379995,252.9199981689453,Technology,239.10533,240.0,310.0,125.1,45,1.63462,1970-01-01,20387,yfinance.info/recommendations
AMZN,fcf_dcf,18.338206741260407,224.2100067138672,Consumer Cyclical,267.7143,269.0,306.0,230.0,63,1.27536,1970-01-01,20387,yfinance.info/recommendations
AU,fcf_dcf,59.60475878852194,68.56999969482422,Basic Materials,88.0,83.5,128.0,67.0,6,2.16667,1970-01-01,20387,yfinance.info/recommendations
AVGO,fcf_dcf,72.65916570339748,354.1300048828125,Technology,390.7963,400.0,460.0,273.4,41,1.28261,1970-01-01,20387,yfinance.info/recommendations
BAC,fcf_dcf,,52.56999969482422,Financial Services,57.97917,58.0,67.0,46.0,24,1.64,1970-01-01,20387,yfinance.info/recommendations
BRK-B,fcf_dcf,64.21181901566017,492.1000061035156,Financial Services,519.6667,487.0,593.0,479.0,3,2.0,1970-01-01,20387,yfinance.info/recommendations
BTG,fcf_dcf,,5.210000038146973,Basic Materials,5.79,6.0,7.0,4.45,5,2.15385,1970-01-01,20387,yfinance.info/recommendations
CAT,fcf_dcf,215.67930579183687,522.72998046875,Industrials,498.47913,485.0,650.0,350.0,23,2.15385,1970-01-01,20387,yfinance.info/recommendations
COST,fcf_dcf,270.75773957864305,932.1400146484376,Consumer Defensive,1062.7742,1095.0,1218.0,640.0,31,1.94595,1970-01-01,20387,yfinance.info/recommendations
CRM,fcf_dcf,182.2155243531233,254.8300018310547,Technology,331.8147,335.0,430.0,221.0,51,1.63636,1970-01-01,20387,yfinance.info/recommendations
CSCO,fcf_dcf,53.45017683200405,70.62999725341797,Technology,76.29095,76.0,87.0,61.0,21,2.11538,1970-01-01,20387,yfinance.info/recommendations
CVX,fcf_dcf,134.62139056569615,155.55999755859375,Energy,170.072,171.0,197.0,124.0,25,2.14815,1970-01-01,20387,yfinance.info/recommendations
DHR,fcf_dcf,115.94880819654443,223.00999450683597,Healthcare,254.4,252.5,310.0,220.0,20,1.30435,1970-01-01,20387,yfinance.info/recommendations
FNV,fcf_dcf,-81.5074409893653,190.1000061035156,Basic Materials,229.33444,225.0,260.0,200.0,9,2.0625,1970-01-01,20387,yfinance.info/recommendations
GOOG,fcf_dcf,88.99370562532351,260.510009765625,Communication Services,257.39413,275.0,300.0,185.0,17,1.5,1970-01-01,20387,yfinance.info/recommendations
GOOGL,fcf_dcf,88.79215372085571,259.9200134277344,Communication Services,260.38593,262.5,340.0,185.0,54,1.50746,1970-01-01,20387,yfinance.info/recommendations
HD,fcf_dcf,235.1723283416201,386.6799926757813,Consumer Cyclical,438.84848,450.0,497.0,335.0,33,1.78378,1970-01-01,20387,yfinance.info/recommendations
HON,fcf_dcf,124.51051284561296,216.13999938964844,Industrials,248.06525,245.37,290.0,210.0,21,1.95833,1970-01-01,20387,yfinance.info/recommendations
IBM,fcf_dcf,209.874271067094,307.4599914550781,Technology,285.59332,297.5,350.0,198.0,18,2.55,1970-01-01,20387,yfinance.info/recommendations
INTC,fcf_dcf,-29.283363587369777,38.27999877929688,Technology,35.50543,35.0,50.0,20.0,35,3.13953,1970-01-01,20387,yfinance.info/recommendations
JNJ,fcf_dcf,114.6424382678216,190.3999938964844,Healthcare,198.46826,204.0,225.0,155.0,23,2.16667,1970-01-01,20387,yfinance.info/recommendations
JPM,fcf_dcf,,300.44000244140625,Financial Services,326.9175,332.0,370.0,250.0,24,2.28,1970-01-01,20387,yfinance.info/recommendations
KGC,fcf_dcf,27.399361182839492,23.940000534057617,Basic Materials,26.55,30.0,36.0,8.0,10,1.82353,1970-01-01,20387,yfinance.info/recommendations
KO,fcf_dcf,-2.827335175799788,69.70999908447266,Consumer Defensive,78.83478,80.0,85.0,72.0,23,1.58333,1970-01-01,20387,yfinance.info/recommendations
LIN,fcf_dcf,182.09760982210096,446.0,Basic Materials,513.13635,520.0,576.0,381.0,22,1.72,1970-01-01,20387,yfinance.info/recommendations
LLY,fcf_dcf,-0.943290338892966,825.4500122070312,Healthcare,898.0378,900.0,1190.0,650.0,27,1.75862,1970-01-01,20387,yfinance.info/recommendations
MA,fcf_dcf,287.40419613445647,573.6699829101562,Financial Services,651.4057,656.0,768.0,520.0,35,1.68421,1970-01-01,20387,yfinance.info/recommendations
MCD,fcf_dcf,162.80723530369767,305.7900085449219,Consumer Cyclical,331.13794,335.0,375.0,250.0,29,2.25,1970-01-01,20387,yfinance.info/recommendations
META,fcf_dcf,289.0524731968107,738.3599853515625,Communication Services,867.1763,877.5,1086.0,616.0,62,1.41176,1970-01-01,20387,yfinance.info/recommendations
MRK,fcf_dcf,98.79757181462722,87.48999786376953,Healthcare,101.8412,98.0,137.0,82.0,25,2.0,1970-01-01,20387,yfinance.info/recommendations
MSFT,fcf_dcf,148.93559084280972,523.6099853515625,Technology,621.2663,630.0,710.0,483.0,51,1.25862,1970-01-01,20387,yfinance.info/recommendations
NEM,fcf_dcf,76.52879802438044,83.37000274658203,Basic Materials,102.615,104.75,120.0,62.0,20,1.7619,1970-01-01,20387,yfinance.info/recommendations
NFLX,fcf_dcf,232.383950599979,1094.68994140625,Communication Services,1341.6187,1390.0,1600.0,770.0,44,1.89796,1970-01-01,20387,yfinance.info/recommendations
NKE,fcf_dcf,29.22961020415419,69.11000061035156,Consumer Cyclical,83.27171,84.0,120.0,38.0,35,2.025,1970-01-01,20387,yfinance.info/recommendations
NVDA,fcf_dcf,25.63486420207492,186.25999450683597,Technology,218.51369,214.0,320.0,100.0,57,1.34375,1970-01-01,20387,yfinance.info/recommendations
OR,fcf_dcf,7.582662135426039,33.349998474121094,Basic Materials,41.07574,41.032154,42.09289,40.145763,4,2.41667,1970-01-01,20387,yfinance.info/recommendations
ORCL,fcf_dcf,-23.48191729155769,283.3299865722656,Technology,345.48428,357.5,430.0,175.14314,38,1.7907,1970-01-01,20387,yfinance.info/recommendations
PAAS,fcf_dcf,27.103155398373456,36.34000015258789,Basic Materials,47.625,46.0,62.0,38.0,8,2.0,1970-01-01,20387,yfinance.info/recommendations
PEP,fcf_dcf,87.02522370655629,151.5500030517578,Consumer Defensive,153.57143,155.0,172.0,115.0,21,2.73913,1970-01-01,20387,yfinance.info/recommendations
PFE,fcf_dcf,36.77644362272598,24.76000022888184,Healthcare,28.80864,28.5,36.0,24.0,22,2.45833,1970-01-01,20387,yfinance.info/recommendations
PG,fcf_dcf,101.0778336616588,152.49000549316406,Consumer Defensive,168.72726,171.0,186.0,147.0,22,2.0,1970-01-01,20387,yfinance.info/recommendations
PM,fcf_dcf,97.2735036290684,157.6199951171875,Consumer Defensive,188.93333,188.0,220.0,158.0,15,1.72222,1970-01-01,20387,yfinance.info/recommendations
QCOM,fcf_dcf,145.49962323658983,168.94000244140625,Technology,179.28078,172.5,225.0,140.0,26,2.30556,1970-01-01,20387,yfinance.info/recommendations
RGLD,fcf_dcf,68.97598160201255,182.47000122070312,Basic Materials,247.90909,250.0,280.0,203.0,11,1.81818,1970-01-01,20387,yfinance.info/recommendations
TMO,fcf_dcf,275.2391785643978,572.5,Healthcare,608.3709,617.5,675.0,533.16,22,1.65385,1970-01-01,20387,yfinance.info/recommendations
TSLA,fcf_dcf,16.42907770573491,433.7200012207031,Consumer Cyclical,390.533,415.0,600.0,120.0,40,2.52174,1970-01-01,20387,yfinance.info/recommendations
TXN,fcf_dcf,25.83489832190816,169.1300048828125,Technology,190.83,195.0,245.0,125.0,33,2.5,1970-01-01,20387,yfinance.info/recommendations
UNH,fcf_dcf,470.0258274607477,362.5,Healthcare,368.56,395.0,440.0,198.0,25,1.92593,1970-01-01,20387,yfinance.info/recommendations
UPS,fcf_dcf,66.93509634065079,87.22000122070312,Industrials,99.13333,100.0,120.0,75.0,30,2.25806,1970-01-01,20387,yfinance.info/recommendations
V,fcf_dcf,191.65341104059505,347.3800048828125,Financial Services,392.5935,400.0,450.0,305.0,37,1.625,1970-01-01,20387,yfinance.info/recommendations
WFC,fcf_dcf,,86.41000366210938,Financial Services,92.89583,93.5,100.0,79.0,24,2.03846,1970-01-01,20387,yfinance.info/recommendations
WMT,fcf_dcf,29.057269658621877,106.16999816894533,Consumer Defensive,113.35,115.0,129.0,60.0,40,1.34884,1970-01-01,20387,yfinance.info/recommendations
WPM,fcf_dcf,28.028371311194373,98.1500015258789,Basic Materials,128.831,127.5,160.0,108.31,10,1.6875,1970-01-01,20387,yfinance.info/recommendations
XOM,fcf_dcf,115.0711963401381,115.38999938964844,Energy,126.51077,125.0,156.0,105.0,26,2.25,1970-01-01,20387,yfinance.info/recommendations
