symbol,date,period,eps,src
JPM,2025-03-31,2025Q1,5.07,yahoo_income
JPM,2024-12-31,2024Q4,4.81,yahoo_income
JPM,2024-09-30,2024Q3,4.37,yahoo_income
KGC,2025-09-30,2025Q3,0.48,yahoo_income
KGC,2025-06-30,2025Q2,0.43,yahoo_income
KGC,2025-03-31,2025Q1,0.3,yahoo_income
KGC,2024-09-30,2024Q3,0.29,yahoo_income
KGC,2024-06-30,2024Q2,0.17,yahoo_income
KMB,2025-09-30,2025Q3,1.34,yahoo_income
KMB,2025-06-30,2025Q2,1.53,yahoo_income
KMB,2025-03-31,2025Q1,1.7,yahoo_income
KMB,2024-12-31,2024Q4,1.34,yahoo_income
KMB,2024-09-30,2024Q3,2.69,yahoo_income
KO,2025-09-30,2025Q3,0.86,yahoo_income
KO,2025-06-30,2025Q2,0.88,yahoo_income
KO,2025-03-31,2025Q1,0.77,yahoo_income
KO,2024-12-31,2024Q4,0.51,yahoo_income
KO,2024-09-30,2024Q3,0.66,yahoo_income
LIN,2025-09-30,2025Q3,4.09,yahoo_income
LIN,2025-06-30,2025Q2,3.73,yahoo_income
LIN,2025-03-31,2025Q1,3.51,yahoo_income
LIN,2024-09-30,2024Q3,3.22,yahoo_income
LIN,2024-06-30,2024Q2,3.44,yahoo_income
LLY,2025-09-30,2025Q3,6.21,yahoo_income
LLY,2025-06-30,2025Q2,6.29,yahoo_income
LLY,2025-03-31,2025Q1,3.06,yahoo_income
LLY,2024-12-31,2024Q4,4.88,yahoo_income
LLY,2024-09-30,2024Q3,1.07,yahoo_income
LMT,2025-09-30,2025Q3,6.95,yahoo_income
LMT,2025-06-30,2025Q2,1.46,yahoo_income
LMT,2025-03-31,2025Q1,7.28,yahoo_income
LMT,2024-12-31,2024Q4,2.22,yahoo_income
LMT,2024-09-30,2024Q3,6.8,yahoo_income
LOW,2025-07-31,2025Q3,4.27,yahoo_income
LOW,2025-04-30,2025Q2,2.92,yahoo_income
LOW,2025-01-31,2025Q1,1.99,yahoo_income
LOW,2024-10-31,2024Q4,2.99,yahoo_income
LOW,2024-07-31,2024Q3,4.17,yahoo_income
MA,2025-09-30,2025Q3,4.34,yahoo_income
MA,2025-03-31,2025Q1,3.59,yahoo_income
MA,2024-12-31,2024Q4,3.64,yahoo_income
MA,2024-09-30,2024Q3,3.53,yahoo_income
MA,2024-06-30,2024Q2,3.5,yahoo_income
MCD,2025-09-30,2025Q3,3.18,yahoo_income
MCD,2025-06-30,2025Q2,3.14,yahoo_income
MCD,2025-03-31,2025Q1,2.6,yahoo_income
MCD,2024-12-31,2024Q4,2.8,yahoo_income
MCD,2024-09-30,2024Q3,3.13,yahoo_income
MDT,2025-07-31,2025Q3,0.81,yahoo_income
MDT,2025-04-30,2025Q2,0.82,yahoo_income
MDT,2025-01-31,2025Q1,1.01,yahoo_income
MDT,2024-10-31,2024Q4,0.99,yahoo_income
MDT,2024-07-31,2024Q3,0.8,yahoo_income
META,2025-09-30,2025Q3,1.05,yahoo_income
META,2025-06-30,2025Q2,7.14,yahoo_income
META,2025-03-31,2025Q1,6.43,yahoo_income
META,2024-12-31,2024Q4,8.02,yahoo_income
META,2024-09-30,2024Q3,6.03,yahoo_income
MMC,2025-09-30,2025Q3,1.51,yahoo_income
MMC,2025-06-30,2025Q2,2.45,yahoo_income
MMC,2025-03-31,2025Q1,2.79,yahoo_income
MMC,2024-12-31,2024Q4,1.59,yahoo_income
MMC,2024-09-30,2024Q3,1.51,yahoo_income
MO,2025-09-30,2025Q3,1.41,yahoo_income
MO,2025-06-30,2025Q2,1.41,yahoo_income
MO,2025-03-31,2025Q1,0.63,yahoo_income
MO,2024-12-31,2024Q4,1.79,yahoo_income
MO,2024-09-30,2024Q3,1.34,yahoo_income
MPC,2025-09-30,2025Q3,4.51,yahoo_income
MPC,2025-06-30,2025Q2,3.96,yahoo_income
MPC,2025-03-31,2025Q1,-0.24,yahoo_income
MPC,2024-12-31,2024Q4,1.15,yahoo_income
MPC,2024-09-30,2024Q3,1.87,yahoo_income
MRK,2025-09-30,2025Q3,2.32,yahoo_income
MRK,2025-06-30,2025Q2,1.76,yahoo_income
MRK,2025-03-31,2025Q1,2.01,yahoo_income
MRK,2024-12-31,2024Q4,1.48,yahoo_income
MRK,2024-09-30,2024Q3,1.24,yahoo_income
MS,2025-09-30,2025Q3,2.8,yahoo_income
MS,2025-06-30,2025Q2,2.13,yahoo_income
MS,2025-03-31,2025Q1,2.6,yahoo_income
MS,2024-12-31,2024Q4,2.22,yahoo_income
MS,2024-09-30,2024Q3,1.88,yahoo_income
MSFT,2025-09-30,2025Q3,3.72,yahoo_income
MSFT,2025-06-30,2025Q2,3.65,yahoo_income
MSFT,2025-03-31,2025Q1,3.46,yahoo_income
MSFT,2024-12-31,2024Q4,3.23,yahoo_income
MSFT,2024-09-30,2024Q3,3.3,yahoo_income
NEM,2025-09-30,2025Q3,1.67,yahoo_income
NEM,2025-06-30,2025Q2,1.85,yahoo_income
NEM,2025-03-31,2025Q1,1.68,yahoo_income
NEM,2024-12-31,2024Q4,1.24,yahoo_income
NEM,2024-09-30,2024Q3,0.8,yahoo_income
NFLX,2025-09-30,2025Q3,5.87,yahoo_income
NFLX,2025-06-30,2025Q2,7.19,yahoo_income
NFLX,2025-03-31,2025Q1,6.61,yahoo_income
NFLX,2024-12-31,2024Q4,4.27,yahoo_income
NFLX,2024-09-30,2024Q3,5.4,yahoo_income
NKE,2025-08-31,2025Q3,0.49,yahoo_income
NKE,2025-05-31,2025Q2,0.14,yahoo_income
NKE,2025-02-28,2025Q1,0.54,yahoo_income
NKE,2024-11-30,2024Q4,0.78,yahoo_income
NKE,2024-08-31,2024Q3,0.7,yahoo_income
NOW,2025-09-30,2025Q3,2.4,yahoo_income
NOW,2025-06-30,2025Q2,1.84,yahoo_income
NOW,2025-03-31,2025Q1,2.2,yahoo_income
NOW,2024-12-31,2024Q4,1.83,yahoo_income
NOW,2024-09-30,2024Q3,2.07,yahoo_income
NVDA,2025-07-31,2025Q3,1.08,yahoo_income
NVDA,2025-04-30,2025Q2,0.76,yahoo_income
NVDA,2025-01-31,2025Q1,0.89,yahoo_income
NVDA,2024-10-31,2024Q4,0.78,yahoo_income
NVDA,2024-07-31,2024Q3,0.67,yahoo_income
ORCL,2025-08-31,2025Q3,1.01,yahoo_income
ORCL,2025-02-28,2025Q1,1.02,yahoo_income
ORCL,2024-11-30,2024Q4,1.1,yahoo_income
ORCL,2024-08-31,2024Q3,1.03,yahoo_income
ORCL,2024-05-31,2024Q2,1.11,yahoo_income
OXY,2025-09-30,2025Q3,0.65,yahoo_income
OXY,2025-06-30,2025Q2,0.26,yahoo_income
OXY,2025-03-31,2025Q1,0.77,yahoo_income
OXY,2024-12-31,2024Q4,-0.32,yahoo_income
OXY,2024-09-30,2024Q3,0.98,yahoo_income
PANW,2025-07-31,2025Q3,0.36,yahoo_income
PANW,2025-04-30,2025Q2,0.37,yahoo_income
PANW,2025-01-31,2025Q1,0.38,yahoo_income
PANW,2024-10-31,2024Q4,0.495,yahoo_income
PANW,2024-07-31,2024Q3,0.505,yahoo_income
PEP,2025-09-30,2025Q3,1.9,yahoo_income
PEP,2025-06-30,2025Q2,0.92,yahoo_income
PEP,2025-03-31,2025Q1,1.33,yahoo_income
PEP,2024-12-31,2024Q4,1.11,yahoo_income
PEP,2024-09-30,2024Q3,2.13,yahoo_income
PFE,2025-09-30,2025Q3,0.62,yahoo_income
PFE,2025-06-30,2025Q2,0.51,yahoo_income
PFE,2025-03-31,2025Q1,0.52,yahoo_income
PFE,2024-12-31,2024Q4,0.07,yahoo_income
PFE,2024-09-30,2024Q3,0.78,yahoo_income
PG,2025-09-30,2025Q3,1.95,yahoo_income
PG,2025-06-30,2025Q2,1.48,yahoo_income
PG,2025-03-31,2025Q1,1.54,yahoo_income
PG,2024-12-31,2024Q4,1.88,yahoo_income
PG,2024-09-30,2024Q3,1.61,yahoo_income
PGR,2025-09-30,2025Q3,4.45,yahoo_income
PGR,2025-06-30,2025Q2,5.4,yahoo_income
PGR,2025-03-31,2025Q1,4.37,yahoo_income
PGR,2024-09-30,2024Q3,3.97,yahoo_income
PGR,2024-06-30,2024Q2,2.48,yahoo_income
PLD,2025-09-30,2025Q3,0.82,yahoo_income
PLD,2025-06-30,2025Q2,0.61,yahoo_income
PLD,2025-03-31,2025Q1,0.63,yahoo_income
PLD,2024-09-30,2024Q3,1.08,yahoo_income
PLD,2024-06-30,2024Q2,0.92,yahoo_income
PM,2025-09-30,2025Q3,2.23,yahoo_income
PM,2025-06-30,2025Q2,1.95,yahoo_income
PM,2025-03-31,2025Q1,1.72,yahoo_income
PM,2024-12-31,2024Q4,-0.38,yahoo_income
PM,2024-09-30,2024Q3,1.97,yahoo_income
PSA,2025-09-30,2025Q3,2.62,yahoo_income
PSA,2025-06-30,2025Q2,1.76,yahoo_income
PSA,2025-03-31,2025Q1,2.04,yahoo_income
PSA,2024-12-31,2024Q4,3.21,yahoo_income
PSA,2024-09-30,2024Q3,2.16,yahoo_income
QCOM,2025-06-30,2025Q2,2.43,yahoo_income
QCOM,2025-03-31,2025Q1,2.52,yahoo_income
QCOM,2024-12-31,2024Q4,2.83,yahoo_income
QCOM,2024-09-30,2024Q3,2.59,yahoo_income
QCOM,2024-06-30,2024Q2,1.88,yahoo_income
REGN,2025-09-30,2025Q3,13.62,yahoo_income
REGN,2025-06-30,2025Q2,12.81,yahoo_income
REGN,2025-03-31,2025Q1,7.27,yahoo_income
REGN,2024-12-31,2024Q4,8.06,yahoo_income
REGN,2024-09-30,2024Q3,11.54,yahoo_income
RGLD,2025-09-30,2025Q3,1.92,yahoo_income
RGLD,2025-06-30,2025Q2,2.01,yahoo_income
RGLD,2025-03-31,2025Q1,1.72,yahoo_income
RGLD,2024-09-30,2024Q3,1.46,yahoo_income
RGLD,2024-06-30,2024Q2,1.23,yahoo_income
RTX,2025-09-30,2025Q3,1.41,yahoo_income
RTX,2025-06-30,2025Q2,1.22,yahoo_income
RTX,2025-03-31,2025Q1,1.14,yahoo_income
RTX,2024-12-31,2024Q4,1.1,yahoo_income
RTX,2024-09-30,2024Q3,1.09,yahoo_income
SBUX,2025-09-30,2025Q3,0.117073,yahoo_income
SBUX,2025-06-30,2025Q2,0.49,yahoo_income
SBUX,2025-03-31,2025Q1,0.338145,yahoo_income
SBUX,2024-12-31,2024Q4,0.687445,yahoo_income
SBUX,2024-09-30,2024Q3,0.8,yahoo_income
SCHW,2025-09-30,2025Q3,1.26,yahoo_income
SCHW,2025-06-30,2025Q2,1.08,yahoo_income
SCHW,2025-03-31,2025Q1,0.99,yahoo_income
SCHW,2024-12-31,2024Q4,0.94,yahoo_income
SCHW,2024-09-30,2024Q3,0.71,yahoo_income
SLB,2025-09-30,2025Q3,0.5,yahoo_income
SLB,2025-06-30,2025Q2,0.74,yahoo_income
SLB,2025-03-31,2025Q1,0.58,yahoo_income
SLB,2024-12-31,2024Q4,0.77,yahoo_income
SLB,2024-09-30,2024Q3,0.83,yahoo_income
SO,2025-09-30,2025Q3,1.54,yahoo_income
SO,2025-06-30,2025Q2,0.79,yahoo_income
SO,2025-03-31,2025Q1,1.21,yahoo_income
SO,2024-12-31,2024Q4,0.48,yahoo_income
SO,2024-09-30,2024Q3,1.39,yahoo_income
SPGI,2025-09-30,2025Q3,3.86,yahoo_income
SPGI,2025-06-30,2025Q2,3.5,yahoo_income
SPGI,2025-03-31,2025Q1,3.54,yahoo_income
SPGI,2024-12-31,2024Q4,2.85,yahoo_income
SPGI,2024-09-30,2024Q3,3.11,yahoo_income
SSRM,2025-09-30,2025Q3,0.31,yahoo_income
SSRM,2025-06-30,2025Q2,0.42,yahoo_income
SSRM,2025-03-31,2025Q1,0.28,yahoo_income
SSRM,2024-09-30,2024Q3,0.05,yahoo_income
SSRM,2024-06-30,2024Q2,0.05,yahoo_income
TGT,2025-07-31,2025Q3,2.05,yahoo_income
TGT,2025-04-30,2025Q2,2.27,yahoo_income
TGT,2025-01-31,2025Q1,2.41,yahoo_income
TGT,2024-10-31,2024Q4,1.85,yahoo_income
TGT,2024-07-31,2024Q3,2.57,yahoo_income
TJX,2025-07-31,2025Q3,1.1,yahoo_income
TJX,2025-04-30,2025Q2,0.92,yahoo_income
TJX,2025-01-31,2025Q1,1.23,yahoo_income
TJX,2024-10-31,2024Q4,1.14,yahoo_income
TJX,2024-07-31,2024Q3,0.96,yahoo_income
TMO,2025-09-30,2025Q3,4.27,yahoo_income
TMO,2025-06-30,2025Q2,4.28,yahoo_income
TMO,2025-03-31,2025Q1,3.98,yahoo_income
TMO,2024-12-31,2024Q4,4.78,yahoo_income
TMO,2024-09-30,2024Q3,4.25,yahoo_income
TSLA,2025-09-30,2025Q3,0.39,yahoo_income
TSLA,2025-06-30,2025Q2,0.33,yahoo_income
TSLA,2025-03-31,2025Q1,0.12,yahoo_income
TSLA,2024-12-31,2024Q4,0.66,yahoo_income
TSLA,2024-09-30,2024Q3,0.62,yahoo_income
TXN,2025-09-30,2025Q3,1.48,yahoo_income
TXN,2025-06-30,2025Q2,1.41,yahoo_income
TXN,2025-03-31,2025Q1,1.28,yahoo_income
TXN,2024-12-31,2024Q4,1.3,yahoo_income
TXN,2024-09-30,2024Q3,1.47,yahoo_income
UNH,2025-09-30,2025Q3,2.59,yahoo_income
UNH,2025-06-30,2025Q2,3.74,yahoo_income
UNH,2025-03-31,2025Q1,6.85,yahoo_income
UNH,2024-12-31,2024Q4,5.98,yahoo_income
UNH,2024-09-30,2024Q3,6.51,yahoo_income
UPS,2025-09-30,2025Q3,1.55,yahoo_income
UPS,2025-06-30,2025Q2,1.51,yahoo_income
UPS,2025-03-31,2025Q1,1.4,yahoo_income
UPS,2024-12-31,2024Q4,2.01,yahoo_income
UPS,2024-09-30,2024Q3,1.8,yahoo_income
USB,2025-09-30,2025Q3,1.22,yahoo_income
USB,2025-06-30,2025Q2,1.11,yahoo_income
USB,2025-03-31,2025Q1,1.03,yahoo_income
USB,2024-12-31,2024Q4,1.01,yahoo_income
USB,2024-09-30,2024Q3,1.03,yahoo_income
V,2025-09-30,2025Q3,2.62,yahoo_income
V,2025-06-30,2025Q2,2.69,yahoo_income
V,2025-03-31,2025Q1,2.32,yahoo_income
V,2024-12-31,2024Q4,2.58,yahoo_income
V,2024-09-30,2024Q3,2.65,yahoo_income
WFC,2025-09-30,2025Q3,1.66,yahoo_income
WFC,2025-06-30,2025Q2,1.6,yahoo_income
WFC,2025-03-31,2025Q1,1.39,yahoo_income
WFC,2024-12-31,2024Q4,1.43,yahoo_income
WFC,2024-09-30,2024Q3,1.42,yahoo_income
WMT,2025-07-31,2025Q3,0.88,yahoo_income
WMT,2025-04-30,2025Q2,0.56,yahoo_income
WMT,2025-01-31,2025Q1,0.65,yahoo_income
WMT,2024-10-31,2024Q4,0.57,yahoo_income
WMT,2024-07-31,2024Q3,0.56,yahoo_income
WPM,2025-09-30,2025Q3,0.807,yahoo_income
WPM,2025-06-30,2025Q2,0.643,yahoo_income
WPM,2025-03-31,2025Q1,0.559,yahoo_income
WPM,2024-09-30,2024Q3,0.34,yahoo_income
WPM,2024-06-30,2024Q2,0.269,yahoo_income
XOM,2025-09-30,2025Q3,1.76,yahoo_income
XOM,2025-06-30,2025Q2,1.64,yahoo_income
XOM,2025-03-31,2025Q1,1.76,yahoo_income
XOM,2024-12-31,2024Q4,1.72,yahoo_income
XOM,2024-09-30,2024Q3,1.92,yahoo_income
ZTS,2025-09-30,2025Q3,1.63,yahoo_income
ZTS,2025-06-30,2025Q2,1.61,yahoo_income
ZTS,2025-03-31,2025Q1,1.41,yahoo_income
ZTS,2024-12-31,2024Q4,1.29,yahoo_income
ZTS,2024-09-30,2024Q3,1.5,yahoo_income
